location,date,vaccine,source_url,total_vaccinations
United Kingdom,13/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,86465
United Kingdom,14/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,96469
United Kingdom,15/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,192939
United Kingdom,16/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,289408
United Kingdom,17/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,385878
United Kingdom,18/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,482347
United Kingdom,19/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,578817
United Kingdom,20/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,675286
United Kingdom,21/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,722398
United Kingdom,22/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,769511
United Kingdom,23/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,816623
United Kingdom,24/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,863736
United Kingdom,25/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,910848
United Kingdom,26/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,957961
United Kingdom,27/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1005073
United Kingdom,28/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1058695
United Kingdom,29/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1112318
United Kingdom,30/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1165940
United Kingdom,31/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1219563
United Kingdom,01/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1273185
United Kingdom,02/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1326808
United Kingdom,03/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1380430
United Kingdom,04/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1565793
United Kingdom,05/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1751156
United Kingdom,06/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1936519
United Kingdom,07/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,2121882
United Kingdom,08/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,2307245
United Kingdom,09/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,2492608
United Kingdom,10/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,2677971
United Kingdom,11/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,2843815
United Kingdom,12/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3067541
United Kingdom,13/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3356229
United Kingdom,14/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3678180
United Kingdom,15/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4023705
United Kingdom,16/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4322456
