location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
United Kingdom,13/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,86465,86465,
United Kingdom,20/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,675286,675286,
United Kingdom,27/12/2020,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1005073,1005073,
United Kingdom,03/01/2021,Pfizer/BioNTech,https://coronavirus.data.gov.uk/details/vaccinations,1380430,1380430,
United Kingdom,10/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,2677971,2286572,391399
United Kingdom,11/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,2843815,2431648,412167
United Kingdom,12/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3067541,2639309,428232
United Kingdom,13/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3356229,2918252,437977
United Kingdom,14/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,3678180,3234946,443234
United Kingdom,15/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4023705,3576263,447442
United Kingdom,16/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4322456,3872394,450062
United Kingdom,17/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4514802,4062501,452301
United Kingdom,18/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,4723443,4266577,456866
United Kingdom,19/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,5070365,4609740,460625
United Kingdom,20/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,5437284,4973248,464036
United Kingdom,21/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,5849899,5383103,466796
United Kingdom,22/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,6329968,5861351,468617
United Kingdom,23/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,6822981,6353321,469660
United Kingdom,24/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,7044048,6573570,470478
United Kingdom,25/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,7325773,6853327,472446
United Kingdom,26/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,7638543,7164387,474156
United Kingdom,27/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,7953250,7476765,476485
United Kingdom,28/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,8369438,7891184,478254
United Kingdom,29/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,8859372,8378940,480432
United Kingdom,30/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,9468382,8977329,491053
United Kingdom,31/01/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,9790576,9296367,494209
United Kingdom,01/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,10143511,9646715,496796
United Kingdom,02/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,10520433,10021471,498962
United Kingdom,03/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,10992444,10490487,501957
United Kingdom,04/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,11477040,10971047,505993
United Kingdom,05/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,11975267,11465210,510057
United Kingdom,06/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,12526737,12015018,511719
United Kingdom,07/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,12806587,12294006,512581
United Kingdom,08/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,13162878,12646486,516392
United Kingdom,09/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,13577851,13058298,519553
United Kingdom,10/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,14033555,13509108,524447
United Kingdom,11/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,14542318,14012224,530094
United Kingdom,12/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,15091696,14556827,534869
United Kingdom,13/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,15599904,15062189,537715
United Kingdom,14/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,15839781,15300151,539630
United Kingdom,15/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,16122272,15576107,546165
United Kingdom,16/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,16499549,15940972,558577
United Kingdom,17/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,16996806,16423082,573724
United Kingdom,18/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,17465127,16875536,589591
United Kingdom,19/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,17852327,17247442,604885
United Kingdom,20/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,18197269,17582121,615148
United Kingdom,21/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,18348165,17723840,624325
United Kingdom,22/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,18558969,17916181,642788
United Kingdom,23/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,18911978,18242873,669105
United Kingdom,24/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,19392553,18691835,700718
United Kingdom,25/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,19913592,19177555,736037
United Kingdom,26/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,20450858,19682048,768810
United Kingdom,27/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,20885683,20089551,796132
United Kingdom,28/02/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,21091267,20275451,815816
United Kingdom,01/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,21322717,20478619,844098
United Kingdom,02/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,21599027,20703615,895412
United Kingdom,03/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,21946433,20982571,963862
United Kingdom,04/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,22392883,21358815,1034068
United Kingdom,05/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,22887118,21796278,1090840
United Kingdom,06/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,23335514,22213112,1122402
United Kingdom,07/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,23519898,22377255,1142643
United Kingdom,08/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,23773959,22592528,1181431
United Kingdom,09/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,24064182,22809829,1254353
United Kingdom,10/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,24405231,23053716,1351515
United Kingdom,11/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,24759603,23314525,1445078
United Kingdom,12/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,25216857,23684103,1532754
United Kingdom,13/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,25781120,24196211,1584909
United Kingdom,14/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,26063501,24453221,1610280
United Kingdom,15/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,26503552,24839906,1663646
United Kingdom,16/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,27032671,25273226,1759445
United Kingdom,17/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,27614526,25735472,1879054
United Kingdom,18/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,28274802,26263732,2011070
United Kingdom,19/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,29015457,26878662,2136795
United Kingdom,20/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,29859742,27630970,2228772
United Kingdom,21/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,30279360,27997976,2281384
United Kingdom,22/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,30691557,28327873,2363684
United Kingdom,23/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,31186362,28653523,2532839
United Kingdom,24/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,31766669,28991188,2775481
United Kingdom,25/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,32325993,29316130,3009863
United Kingdom,26/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,33020952,29727435,3293517
United Kingdom,27/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,33684114,30151736,3532378
United Kingdom,28/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,34125256,30445284,3679972
United Kingdom,29/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,34530295,30682093,3848202
United Kingdom,30/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,35033894,30908010,4125884
United Kingdom,31/03/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,35660902,31147444,4513458
United Kingdom,01/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,36277136,31318262,4958874
United Kingdom,02/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,36631187,31425682,5205505
United Kingdom,03/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,36917986,31533568,5384418
United Kingdom,04/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,37013749,31581623,5432126
United Kingdom,05/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,37119083,31622367,5496716
United Kingdom,06/04/2021,"Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,37391103,31707594,5683509
United Kingdom,07/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,37899029,31807124,6091905
United Kingdom,08/04/2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",https://coronavirus.data.gov.uk/details/vaccinations,38444540,31903366,6541174
