province,last_updated,data » date,data » change_cases,data » change_fatalities,data » change_tests,data » change_hospitalizations,data » change_criticals,data » change_recoveries,data » change_vaccinations,data » change_vaccinated,data » change_vaccines_distributed,data » total_cases,data » total_fatalities,data » total_tests,data » total_hospitalizations,data » total_criticals,data » total_recoveries,data » total_vaccinations,data » total_vaccinated,data » total_vaccines_distributed
All,04/07/2021 16:47,25/01/2020,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
,,26/01/2020,1,0,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0
,,27/01/2020,0,0,20,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0
,,28/01/2020,1,0,10,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0
,,29/01/2020,0,0,3,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0
,,30/01/2020,0,0,26,0,0,0,0,0,0,3,0,65,0,0,0,0,0,0
,,31/01/2020,1,0,33,0,0,0,0,0,0,4,0,98,0,0,0,0,0,0
,,01/02/2020,0,0,23,0,0,0,0,0,0,4,0,121,0,0,0,0,0,0
,,02/02/2020,0,0,24,0,0,0,0,0,0,4,0,145,0,0,0,0,0,0
,,03/02/2020,0,0,16,0,0,0,0,0,0,4,0,161,0,0,0,0,0,0
,,04/02/2020,0,0,56,0,0,0,0,0,0,4,0,217,0,0,0,0,0,0
,,05/02/2020,1,0,50,0,0,0,0,0,0,5,0,267,0,0,0,0,0,0
,,06/02/2020,2,0,35,0,0,0,0,0,0,7,0,302,0,0,0,0,0,0
,,07/02/2020,0,0,63,0,0,0,0,0,0,7,0,365,0,0,0,0,0,0
,,08/02/2020,0,0,41,0,0,0,0,0,0,7,0,406,0,0,0,0,0,0
,,09/02/2020,0,0,30,0,0,0,0,0,0,7,0,436,0,0,0,0,0,0
,,10/02/2020,0,0,10,0,0,0,0,0,0,7,0,446,0,0,0,0,0,0
,,11/02/2020,0,0,37,0,0,0,0,0,0,7,0,483,0,0,0,0,0,0
,,12/02/2020,0,0,70,0,0,0,0,0,0,7,0,553,0,0,0,0,0,0
,,13/02/2020,0,0,55,0,0,0,0,0,0,7,0,608,0,0,0,0,0,0
